tanggal,stasiun,pm_sepuluh,pm_duakomalima,sulfur_dioksida,karbon_monoksida,ozon,nitrogen_dioksida
2024-01-01,DKI1 (Bunderan HI),500.0,34.926918533798556,47.97222073797173,16.713386080337806,42.27324915340098,15.247703111610406
2024-01-02,DKI1 (Bunderan HI),358.713529980518,32.077247635362326,49.121291311211586,17.182229111710853,37.48678054362595,15.537086257061313
2024-01-03,DKI1 (Bunderan HI),215.41425069700983,31.63950615940992,38.841581158274955,18.173620936386214,30.0122972216278,17.9644621075353
2024-01-04,DKI1 (Bunderan HI),70.32967888715264,32.453777649313075,36.512562224572704,14.460326209883519,36.02781024901687,16.286481265789146
2024-01-05,DKI1 (Bunderan HI),61.25950195903914,34.898826351212755,28.80820359668087,14.40897272766568,56.97962587835653,22.882376446438077
2024-01-06,DKI1 (Bunderan HI),58.56502947557002,34.2241058516238,32.159306411836816,15.307399425749372,57.79866658326093,28.28706717188254
2024-01-07,DKI1 (Bunderan HI),50.092656471115426,35.62670806455066,27.619520044798026,12.931737204412775,62.23053401651904,34.951031915134195
2024-01-08,DKI1 (Bunderan HI),58.35727235036713,38.79338614149935,23.336363479560323,11.714518274399241,43.08244471743776,35.37225672225366
2024-01-09,DKI1 (Bunderan HI),59.355375645610906,41.9763377118349,28.706562671292915,13.86328250712838,43.428242196922916,30.09046973559775
2024-01-10,DKI1 (Bunderan HI),67.5909485529436,37.05758178490341,35.48006953709582,14.528742480855135,34.31990003785673,27.797157649323054
2024-01-11,DKI1 (Bunderan HI),70.92106896647101,45.07937804990406,41.47423470569627,14.520378134028716,42.74256168213291,28.211528090830466
2024-01-12,DKI1 (Bunderan HI),65.8930116987481,42.45118426399247,40.21254532989111,12.627090431603785,53.14379657541303,28.73284759593678
2024-01-13,DKI1 (Bunderan HI),63.05358328038608,46.09088878320875,41.16512200871961,17.114273583419607,64.43270585056992,27.307010442334956
2024-01-14,DKI1 (Bunderan HI),58.12367719912307,31.894714957571978,44.87627051968345,17.59324698391743,62.31590799086459,25.5970617850289
2024-01-15,DKI1 (Bunderan HI),57.117008387572035,28.996889477325855,45.767893401928944,17.25450419491664,55.57807662551527,24.66204128004685
2024-01-16,DKI1 (Bunderan HI),57.72593991727998,30.798572979648217,40.693850638790735,14.859624863653737,60.90445750166441,29.34443499795738
2024-01-17,DKI1 (Bunderan HI),49.233265215162135,36.05859565999523,36.269066546420596,15.16300064959857,59.79855846243433,26.441618939739595
2024-01-18,DKI1 (Bunderan HI),65.89998281908599,41.518296265810285,34.93429365125608,14.562351305143386,52.03903445002183,26.849236877437235
2024-01-19,DKI1 (Bunderan HI),82.62464313991008,35.83743878261263,40.70533429868407,15.59586183515011,37.919757890861476,24.36494249652425
2024-01-20,DKI1 (Bunderan HI),89.21331303354657,40.90245325336401,41.20826576120276,15.32513985319028,37.425352217838146,30.27427781289364
2024-01-21,DKI1 (Bunderan HI),78.59503888724143,49.2670428639928,38.15023588891642,16.12808223884702,53.35063403331329,35.22153864421657
2024-01-22,DKI1 (Bunderan HI),74.16824880480705,51.42895368368775,28.876588443389352,16.76188474267691,63.94686239118774,36.1116716901222
2024-01-23,DKI1 (Bunderan HI),75.24587503339868,46.340385473226185,29.62335753086029,16.764507301898835,65.88437844285745,32.31689646112221
2024-01-24,DKI1 (Bunderan HI),71.34604128559802,34.09321697693591,41.78737496879672,15.675332898775936,52.45026687344994,20.717922044180227
2024-01-25,DKI1 (Bunderan HI),41.825035904261135,36.052850053540645,48.027829903152025,16.408307296052453,46.692951486936465,17.383353464774945
2024-01-26,DKI1 (Bunderan HI),34.10767500147754,32.3650977261944,48.817316288665076,16.29286445166164,32.88685297761009,14.716317591236873
2024-01-27,DKI1 (Bunderan HI),38.61823174344986,31.52612877322324,36.02958989609567,17.070335456131577,41.57976454917158,18.608432698499048
2024-01-28,DKI1 (Bunderan HI),53.44738993307848,29.003824227336086,31.14557626812824,13.32462697954639,43.064564730619054,28.874955642185537
2024-01-29,DKI1 (Bunderan HI),47.8734100382979,31.22432664120248,29.40355997238917,12.861110974743779,72.28899259306914,24.643092273938848
2024-01-30,DKI1 (Bunderan HI),61.02458548895864,23.618342784800358,31.40406111682471,13.06517228359832,76.56470748293962,24.404979638613316
2024-01-31,DKI1 (Bunderan HI),69.87693825358433,29.75988545937109,33.536040449420746,13.731609193273444,73.64676739317346,19.26716303875279
2024-02-01,DKI1 (Bunderan HI),79.18692151723026,31.343682212169814,38.67413400453984,14.867490148557115,62.42814554425478,22.103086065212995
2024-02-02,DKI1 (Bunderan HI),69.55378205533424,45.910795195484326,37.085211865230335,12.228941974981426,37.74561479711523,29.843162618014247
2024-02-03,DKI1 (Bunderan HI),58.99227476141443,30.339503105192943,37.08736991059089,13.784571008717663,29.579945077422668,24.952082694133566
2024-02-04,DKI1 (Bunderan HI),64.688603153705,29.942616969382613,33.17640440053627,9.920845248196516,23.80688422020142,26.995052746144253
2024-02-05,DKI1 (Bunderan HI),70.87302042716719,26.424539561268855,37.89334550456348,11.373976500891567,37.54768765023271,15.687566147505345
2024-02-06,DKI1 (Bunderan HI),73.59600137229924,31.697986952163124,40.35943067481666,9.960229329964962,45.1505487499835,17.813067693186238
2024-02-07,DKI1 (Bunderan HI),66.54761202305696,24.570859568230862,40.78618408087193,11.802558137223599,42.606275338306666,17.66597599314566
2024-02-08,DKI1 (Bunderan HI),46.32312859262717,29.30550511540873,42.6140957201844,10.468415193525134,54.10158496663025,22.681537838585395
